,Preprocessing Stage 1: StringIndexer,Preprocessing Stage 2: OneHotEncoder,Preprocessing Stage 3: StringIndexer,Preprocessing Stage 4: OneHotEncoder,Preprocessing Stage 5: VectorAssembler,Preprocessing Stage 6: StandardScaler,Preprocessing Stage 7: VectorAssembler,CrossValidator,Total Time
Results_num_node_1_Mean,0.5460364669599841,0.010345155880000284,0.17054337587999158,0.009534185880003692,0.00500988325999453,0.47805991284000016,0.004795865060002548,21.772798480000006,22.997123325759986
Results_num_node_1_Median,0.5376618334998966,0.009297791500046,0.16679587499999116,0.00901158350006875,0.00443368749995435,0.4692116880000299,0.0046076045000518,21.614270780499993,22.824691282000117
Results_num_node_1_Standard Deviation,0.05610106257899583,0.005534734104053096,0.014957957814537976,0.0018019481081893848,0.0029762032520339204,0.03809629917478914,0.0016525052373133643,0.708912581303941,0.8051652990372741
Results_num_node_2_Mean,0.9748825963799936,0.010445304280019569,0.5442352293400154,0.009499516680034454,0.004985421680003089,0.6408310403399673,0.004871167559995182,23.19222017965997,25.38197045592
Results_num_node_2_Median,1.0002480630000719,0.00944293750001175,0.5322010829997907,0.00911200000018645,0.00444433300003765,0.49336798000013,0.0047407294999856995,23.123912114499944,25.35195365850063
Results_num_node_2_Standard Deviation,0.4363964962510474,0.005620418449033299,0.4452378071986865,0.0019153924355726003,0.002882834307713702,0.3399221629742186,0.0010830480842386823,0.5209973447149677,0.6327276630586336
Results_num_node_3_Mean,1.0350233687600485,0.010605439199953201,0.8735842536400105,0.009666631660002124,0.004895533340004432,0.7987553462399682,0.004650899979997067,24.814740884659987,27.55192235747997
Results_num_node_3_Median,1.0038695835000908,0.0095327710000674,0.987614667500111,0.0091660625000713,0.0043444585000997505,0.512806292500045,0.00449087499987395,24.69555078150006,27.400225242000033
Results_num_node_3_Standard Deviation,0.44856205687938755,0.005911794557584019,0.600209940656655,0.0026461951804647205,0.002844248312357202,0.49366134570033793,0.0011307203716456476,0.8003877293954984,0.6625859845913337
Results_num_node_4_Mean,1.182704738900011,0.01027717831997502,1.0744588879399635,0.009247623400115068,0.00481519489996567,0.91387268871993,0.004865099159978805,26.84730197814002,30.047543389479962
Results_num_node_4_Median,1.5290381255003922,0.009260499999982099,1.5206897709995246,0.008619937500043251,0.0042643334995773,0.6850488749996657,0.0047017495003274,26.656849554000473,29.918426720999832
Results_num_node_4_Standard Deviation,0.446713602847019,0.0054350708499297995,0.5647511017356308,0.002001295158969657,0.0026133450730279014,0.5007016893279298,0.0014070821244502472,1.0553154264217235,0.7362489600177113
Results_num_node_5_Mean,1.2792320465199554,0.010289621720003144,1.063343583840051,0.009342394140021444,0.004661854900023128,1.0627029745800245,0.004639946600000206,28.76659670896006,32.20080913126014
Results_num_node_5_Median,1.5382751884994832,0.00902177099942485,1.038059583499944,0.0088432289999218,0.0042371250001451,0.7344893960002992,0.004434062499967599,28.552857638000205,32.067402160000256
Results_num_node_5_Standard Deviation,0.4185801764737338,0.005888524615262741,0.5449868670217465,0.0020649942961466516,0.0021964696785842274,0.5299429080048232,0.0014131818062717626,0.8743977943422057,0.7163509407005088
Results_num_node_6_Mean,1.350154221440025,0.010240235080091182,1.0694400312202197,0.009457918319967522,0.004737769119856198,1.3399436047601556,0.004572929999885623,30.299341217959956,34.087887927900155
Results_num_node_6_Median,1.5404179379993366,0.00898047950067845,1.524511708999853,0.00866385399967835,0.00417406250016935,1.6891734589999032,0.004353604000243601,30.16312178499993,34.05532587050129
Results_num_node_6_Standard Deviation,0.29511128781281065,0.006160232216585366,0.5697474335135363,0.00329940466146944,0.0029122773847138524,0.5109431996309524,0.0014496785517404214,1.383235299887057,1.0930024853187004
Results_num_node_7_Mean,1.215956798139996,0.009906206740088182,1.2507795746398551,0.009299083359946917,0.004609344240125164,1.1842712438601302,0.0046836250200794375,32.63025812079988,36.3097639968001
Results_num_node_7_Median,1.519694604500728,0.00887187499938585,1.5449074799998925,0.0086711874992033,0.0041923124999811,1.4233539385004406,0.00448212500123185,32.349461181500374,36.39936130750175
Results_num_node_7_Standard Deviation,0.42107267190186526,0.005858680485149444,0.4880984443772946,0.0024423928652528666,0.002276867716438124,0.559597532421152,0.0012517085687224075,1.0848710174981593,0.7152066731672486
Results_num_node_8_Mean,1.3668640348600092,0.010581272499875873,1.2128544064001472,0.009391424160021368,0.004893483399900966,1.3512152048198913,0.00465680327990408,34.01937556476008,37.979832194179835
Results_num_node_8_Median,1.5451951679997364,0.009201354499055,1.5366702090004765,0.008566125000470451,0.0042152079995503,1.6923333760005335,0.00444664549922885,33.893833432000974,38.096928662998835
Results_num_node_8_Standard Deviation,0.3609349870788574,0.007930771568029044,0.5026142323904174,0.0024170778356139336,0.003078153956006532,0.5281274916459654,0.0013742511685839731,1.2944732712292042,0.8855253745926718
